lemma,pos,ehitz_freq,syls,syl_n
iradokizun,N,4.115,i-ra-do-ki-zun,5
iradokor,G,0.549,i-ra-do-kor,4
iragaketa,N,0.549,i-ra-ga-ke-ta,5
iragan,N,83.392,i-ra-gan,3
iraganaldi,N,5.212,i-ra-ga-nal-di,5
iraganbide,N,0.549,i-ra-gan-bi-de,5
iragangaitz,G,0.823,i-ra-gan-gaitz,4
anestesia,N,1.92,a-nes-te-si-a,5
iragankor,G,3.017,i-ra-gan-kor,4
iragapen,N,0.549,i-ra-ga-pen,4
iragarki,N,36.484,i-ra-gar-ki,4
iragarle,N,3.017,i-ra-gar-le,4
iragarpen,N,20.848,i-ra-gar-pen,4
iragarri,V,35.387,i-ra-ga-rri,4
iragazi,V,5.212,i-ra-ga-zi,4
iragazketa,N,3.017,i-ra-gaz-ke-ta,5
iragazki,N,1.92,i-ra-gaz-ki,4
iragazkor,G,0.549,i-ra-gaz-kor,4
anexionatu,V,0.823,a-ne-xi-o-na-tu,6
iragazkortasun,N,1.92,i-ra-gaz-kor-ta-sun,6
irail,N,0.823,i-rail,2
irain,N,7.955,i-rain,2
iraindu,V,3.292,i-rain-du,3
iraingarri,G,1.372,i-rain-ga-rri,4
irainka,A,1.097,i-rain-ka,3
iraitzi,V,1.097,i-rai-tzi,3
iraizean,N,1.097,i-rai-ze-an,4
iraizpen,N,0.549,i-raiz-pen,3
irakasbide,N,5.486,i-ra-kas-bi-de,5
aneziko,N,0.549,a-ne-zi-ko,4
irakasgai,N,8.23,i-ra-kas-gai,4
irakasgarri,G,1.097,i-ra-kas-ga-rri,5
irakasgintza,N,0.549,i-ra-kas-gin-tza,5
irakasketa,N,0.823,i-ra-kas-ke-ta,5
irakaskuntza,N,101.771,i-ra-kas-kun-tza,5
irakasle,N,164.864,i-ra-kas-le,4
irakaslego,G,3.84,i-ra-kas-le-go,5
irakasletza,N,0.823,i-ra-kas-le-tza,5
irakasmaila,N,2.195,i-ra-kas-mai-la,5
irakaspen,N,7.681,i-ra-kas-pen,4
anezka,N,1.92,a-nez-ka,3
irakastordu,N,0.549,i-ra-kas-tor-du,5
irakatsi,V,46.908,i-ra-ka-tsi,4
irakin,V,3.292,i-ra-kin,3
irakitan,A,1.372,i-ra-ki-tan,4
irakite,N,2.743,i-ra-ki-te,4
irakurgai,N,21.397,i-ra-kur-gai,4
irakurkera,N,1.372,i-ra-kur-ke-ra,5
irakurketa,N,85.038,i-ra-kur-ke-ta,5
absolutuki,A,1.646,ab-so-lu-tu-ki,5
anfibio,G,2.743,an-fi-bi-o,4
irakurle,N,40.05,i-ra-kur-le,4
irakurlego,N,5.486,i-ra-kur-le-go,5
irakurmen,N,1.92,i-ra-kur-men,4
irakurraldi,N,1.372,i-ra-ku-rral-di,5
irakurri,V,207.384,i-ra-ku-rri,4
irakurzale,N,0.823,i-ra-kur-za-le,5
irandar,G,2.743,i-ran-dar,3
iraoketa,N,0.549,i-ra-o-ke-ta,5
anfiteatro,N,0.549,an-fi-te-a-tro,5
iraotu,N,0.549,i-ra-o-tu,4
irarketa,N,0.823,i-rar-ke-ta,4
irarkola,N,0.549,i-rar-ko-la,4
irarri,V,0.823,i-ra-rri,3
irasagar,N,0.549,i-ra-sa-gar,4
iratxo,N,5.212,i-ra-txo,3
iratzargailu,N,1.646,i-ra-tzar-gai-lu,5
iratzarri,G,6.035,i-ra-tza-rri,4
iratze,N,2.469,i-ra-tze,3
iraulgarri,G,0.549,i-raul-ga-rri,4
angelu,N,27.98,an-ge-lu,3
irauli,V,9.327,i-rau-li,3
iraulkatu,V,0.823,i-raul-ka-tu,4
iraulketa,N,2.743,i-raul-ke-ta,4
iraultza,N,84.49,i-raul-tza,3
iraultzaile,N,15.087,i-raul-tzai-le,4
iraun,V,117.133,i-raun,2
iraungi,V,3.84,i-raun-gi,3
iraunkor,G,21.945,i-raun-kor,3
angeluar,G,4.115,an-ge-lu-ar,4
iraunkorki,A,3.017,i-raun-kor-ki,4
iraunkortasun,N,1.372,i-raun-kor-ta-sun,5
iraupen,N,18.379,i-rau-pen,3
iraute,N,1.372,i-rau-te,3
irazeki,V,1.646,i-ra-ze-ki,4
irazi,V,0.549,i-ra-zi,3
irazki,N,0.549,i-raz-ki,3
ireki,V,157.184,i-re-ki,3
irekidura,N,4.938,i-re-ki-du-ra,5
irekiera,N,1.646,i-re-ki-e-ra,5
angeluzuzen,G,0.823,an-ge-lu-zu-zen,5
irekigune,N,0.823,i-re-ki-gu-ne,5
irekitasun,N,2.469,i-re-ki-ta-sun,5
irekitze,N,1.097,i-re-ki-tze,4
irelu,N,1.646,i-re-lu,3
irensketa,N,1.372,i-rens-ke-ta,4
irentsi,V,35.113,i-ren-tsi,3
iretargi,N,0.549,i-re-tar-gi,4
iridio,N,0.823,i-ri-di-o,4
irin,N,2.743,i-rin,2
angina,N,2.195,an-gi-na,3
iris,N,0.823,i-ris,2
iritsi,V,340.153,i-ri-tsi,3
iritsiera,N,1.097,i-ri-tsi-e-ra,5
iritzi,N,98.754,i-ri-tzi,3
irizkide,N,1.372,i-riz-ki-de,4
irizpen,N,4.115,i-riz-pen,3
angor,G,2.195,an-gor,2
irizpide,N,46.634,i-riz-pi-de,4
irla,N,19.751,ir-la,2
irlandar,G,5.761,ir-lan-dar,3
irlandera,N,3.84,ir-lan-de-ra,4
irmo,G,5.486,ir-mo,2
irmokeria,N,0.823,ir-mo-ke-ri-a,5
irmoki,A,2.469,ir-mo-ki,3
irokar,G,0.823,i-ro-kar,3
irokes,N,0.549,i-ro-kes,3
angula,N,2.743,an-gu-la,3
ironia,N,9.052,i-ro-ni-a,4
ironiko,G,1.92,i-ro-ni-ko,4
irradiazio,N,1.92,i-rra-di-a-zi-o,6
irrati,N,51.572,i-rra-ti,3
irratigailu,N,0.823,i-rra-ti-gai-lu,5
irratigintza,G,0.823,i-rra-ti-gin-tza,5
irratsaio,N,3.292,i-rra-tsa-io,4
irrazional,G,2.743,i-rra-zi-o-nal,5
irrazionalismo,N,1.646,i-rra-zi-o-na-lis-mo,7
irreal,G,0.549,i-rre-al,3
angustia,G,1.097,an-gus-ti-a,4
irrealtasun,N,0.549,i-rre-al-ta-sun,5
irregular,G,1.92,i-rre-gu-lar,4
irregularki,A,1.646,i-rre-gu-lar-ki,5
irregulartasun,N,2.743,i-rre-gu-lar-ta-sun,6
irri,N,32.095,i-rri,2
irriabar,N,0.549,i-rri-a-bar,4
irribarre,N,56.235,i-rri-ba-rre,4
irribarreka,A,2.195,i-rri-ba-rre-ka,5
irribarretsu,G,12.344,i-rri-ba-rre-tsu,5
irribarretxo,N,0.549,i-rri-ba-rre-txo,5
anhidrasa,N,0.549,a-nhi-dra-sa,4
irrigarri,G,2.743,i-rri-ga-rri,4
irrigura,N,0.549,i-rri-gu-ra,4
irrika,N,17.008,i-rri-ka,3
irrikatu,V,1.097,i-rri-ka-tu,4
irrintzi,N,7.407,i-rrin-tzi,3
irrintzika,A,2.195,i-rrin-tzi-ka,4
absortzio,N,1.646,ab-sor-tzi-o,4
anhidrido,N,6.858,a-nhi-dri-do,4
irristada,N,0.549,i-rris-ta-da,4
irristaketa,N,0.823,i-rris-ta-ke-ta,5
irristakor,G,1.097,i-rris-ta-kor,4
irrista,N,1.646,i-rris-ta,3
irristatu,V,5.486,i-rris-ta-tu,4
irrits,N,0.823,i-rrits,2
irritsu,G,0.549,i-rri-tsu,3
animalia,N,130.026,a-ni-ma-li-a,5
irteera,N,44.165,ir-te-e-ra,4
irten,V,210.401,ir-ten,2
irtenaldi,N,3.292,ir-te-nal-di,4
irtenbide,N,40.599,ir-ten-bi-de,4
irtengune,N,1.097,ir-ten-gu-ne,4
irudi,N,175.837,i-ru-di,3
irudidun,G,1.097,i-ru-di-dun,4
irudigile,N,0.549,i-ru-di-gi-le,5
irudigintza,N,0.549,i-ru-di-gin-tza,5
irudikapen,N,10.15,i-ru-di-ka-pen,5
irudikari,G,0.823,i-ru-di-ka-ri,5
irudikatu,V,8.778,i-ru-di-ka-tu,5
irudikeria,N,0.549,i-ru-di-ke-ri-a,6
irudiko,G,15.087,i-ru-di-ko,4
irudikor,G,0.823,i-ru-di-kor,4
irudimen,N,10.973,i-ru-di-men,4
irudipen,N,6.309,i-ru-di-pen,4
animatu,V,13.442,a-ni-ma-tu,4
irudirapen,N,0.549,i-ru-di-ra-pen,5
iruditegi,N,0.823,i-ru-di-te-gi,5
iruditeria,N,1.646,i-ru-di-te-ri-a,6
iruditu,V,112.47,i-ru-di-tu,4
iruditxo,N,1.097,i-ru-di-txo,4
iruindar,N,0.549,i-ru-in-dar,4
irule,N,1.372,i-ru-le,3
irun,V,1.646,i-run,2
animatzaile,N,0.823,a-ni-ma-tzai-le,5
irundar,N,0.823,i-run-dar,3
iruzkin,N,8.23,i-ruz-kin,3
iruzkindu,V,1.646,i-ruz-kin-du,4
iruzur,N,12.344,i-ru-zur,3
iruzurgile,G,0.549,i-ru-zur-gi-le,5
iruzurkeria,N,0.823,i-ru-zur-ke-ri-a,6
iruzurti,G,0.549,i-ru-zur-ti,4
iruzurtu,V,0.549,i-ru-zur-tu,4
isabeldar,N,0.549,i-sa-bel-dar,4
isats,N,8.778,i-sats,2
animazio,N,2.469,a-ni-ma-zi-o,5
iseka,N,7.407,i-se-ka,3
isil,G,42.519,i-sil,2
isilaldi,N,4.115,i-si-lal-di,4
isildu,V,43.616,i-sil-du,3
isileko,G,5.212,i-si-le-ko,4
isilka,A,7.955,i-sil-ka,3
animiko,G,1.097,a-ni-mi-ko,4
isilkiro,N,1.097,i-sil-ki-ro,4
isilpeka,A,0.549,i-sil-pe-ka,4
isilpeko,N,3.017,i-sil-pe-ko,4
isiltasun,N,21.397,i-sil-ta-sun,4
isiltsu,G,0.549,i-sil-tsu,3
isilune,N,12.344,i-si-lu-ne,4
isilunetxo,N,0.549,i-si-lu-ne-txo,5
isiotu,V,1.646,i-si-o-tu,4
iskanbila,N,15.362,is-kan-bi-la,4
animista,N,1.372,a-ni-mis-ta,4
iskilu,N,6.858,is-ki-lu,3
iskirio,N,0.549,is-ki-ri-o,4
isla,N,6.584,is-la,2
islam,N,1.92,is-lam,2
islamiar,G,8.504,is-la-mi-ar,4
islamista,N,1.097,is-la-mis-ta,4
islandiar,G,0.549,is-lan-di-ar,4
islandiera,N,0.549,is-lan-di-e-ra,5
islatu,V,3.017,is-la-tu,3
ismo,N,0.823,is-mo,2
animo,N,5.212,a-ni-mo,3
iso,O,1.097,i-so,2
isobara,N,0.823,i-so-ba-ra,4
isolamendu,N,2.195,i-so-la-men-du,5
isolatu,V,9.052,i-so-la-tu,4
isolatzaile,N,3.292,i-so-la-tzai-le,5
isomeria,N,1.372,i-so-me-ri-a,5
isomero,N,0.549,i-so-me-ro,4
isoszele,G,0.823,i-sos-ze-le,4
isotermikoki,A,0.549,i-so-ter-mi-ko-ki,6
isotopo,N,1.646,i-so-to-po,4
animoso,G,0.549,a-ni-mo-so,4
ispilu,N,27.706,is-pi-lu,3
israeldar,G,6.858,is-ra-el-dar,4
istant,N,3.84,is-tant,2
istil,N,0.549,is-til,2
istilu,N,15.91,is-ti-lu,3
istiluka,A,0.549,is-ti-lu-ka,4
istilutsu,G,0.823,is-ti-lu-tsu,4
istingor,N,0.549,is-tin-gor,3
istorio,N,56.509,is-to-ri-o,4
istripu,N,20.025,is-tri-pu,3
abstenitu,V,1.92,abs-te-ni-tu,4
anioi,N,0.823,a-ni-oi,3
isun,N,6.309,i-sun,2
isuri,N,30.723,i-su-ri,3
isurialde,N,4.389,i-su-ri-al-de,5
isurkari,G,0.823,i-sur-ka-ri,4
isurketa,N,7.955,i-sur-ke-ta,4
isurki,N,2.195,i-sur-ki,3
isurkin,N,1.097,i-sur-kin,3
isurtze,N,0.549,i-sur-tze,3
italiano,G,0.823,i-ta-li-a-no,5
italiar,G,15.362,i-ta-li-ar,4
anitz,G,53.217,a-nitz,2
italiera,N,3.017,i-ta-li-e-ra,5
itaun,N,11.247,i-taun,2
itaundu,V,22.768,i-taun-du,3
itaunka,A,1.097,i-taun-ka,3
itaunketa,N,4.115,i-taun-ke-ta,4
item,N,7.132,i-tem,2
ito,V,35.936,i-to,2
itogarri,G,1.92,i-to-ga-rri,4
itogin,N,0.823,i-to-gin,3
itoka,A,0.549,i-to-ka,3
itoketa,N,0.549,i-to-ke-ta,4
itotze,N,0.549,i-to-tze,3
itsasadar,N,2.195,i-tsa-sa-dar,4
itsasalde,N,0.549,i-tsa-sal-de,4
itsasaldi,N,0.823,i-tsa-sal-di,4
itsasarte,N,0.549,i-tsa-sar-te,4
itsasbehera,N,0.549,i-tsas-be-he-ra,5
itsasertz,N,3.017,i-tsa-sertz,3
itsasgizon,N,4.389,i-tsas-gi-zon,4
anizkoitz,N,0.549,a-niz-koitz,3
itsasgora,N,1.646,i-tsas-go-ra,4
itsasketa,N,0.823,i-tsas-ke-ta,4
itsaski,N,0.549,i-tsas-ki,3
itsaslapur,G,0.549,i-tsas-la-pur,4
itsaso,N,51.846,i-tsa-so,3
itsasontzi,N,18.105,i-tsa-son-tzi,4
itsasoratu,V,5.212,i-tsa-so-ra-tu,5
itsaspe,N,0.549,i-tsas-pe,3
aniztasun,N,8.778,a-niz-ta-sun,4
itsaspeko,N,1.92,i-tsas-pe-ko,4
itsastar,N,2.469,i-tsas-tar,3
itsatsi,V,17.556,i-tsa-tsi,3
itsu,N,30.175,i-tsu,2
itsugarri,G,0.549,i-tsu-ga-rri,4
itsuka,A,0.549,i-tsu-ka,3
itsumandoka,A,0.823,i-tsu-man-do-ka,5
itsumen,N,0.549,i-tsu-men,3
aniztu,V,0.549,a-niz-tu,3
itsumustu,N,0.823,i-tsu-mus-tu,4
itsumustuka,A,1.097,i-tsu-mus-tu-ka,5
itsumutil,N,0.549,i-tsu-mu-til,4
itsusi,G,10.973,i-tsu-si,3
itsuskeria,N,1.097,i-tsus-ke-ri-a,5
itsuski,A,2.195,i-tsus-ki,3
itsustasun,N,0.549,i-tsus-ta-sun,4
anker,G,9.052,an-ker,2
itsustu,V,1.646,i-tsus-tu,3
itsutu,V,5.761,i-tsu-tu,3
itsutuki,A,0.549,i-tsu-tu-ki,4
itun,N,41.696,i-tun,2
itundu,V,2.195,i-tun-du,3
itunpen,N,3.292,i-tun-pen,3
iturburu,N,12.893,i-tur-bu-ru,4
iturgintza,N,1.372,i-tur-gin-tza,4
iturri,N,105.886,i-tu-rri,3
ankerkeria,N,3.292,an-ker-ke-ri-a,5
itxaro,N,5.212,i-txa-ro,3
itxarobide,N,1.646,i-txa-ro-bi-de,5
itxaron,V,61.173,i-txa-ron,3
itxaronaldi,N,0.823,i-txa-ro-nal-di,5
itxarongela,N,0.823,i-txa-ron-ge-la,5
itxaropen,N,31.546,i-txa-ro-pen,4
itxaropengarri,G,0.549,i-txa-ro-pen-ga-rri,6
itxaropentsu,G,6.309,i-txa-ro-pen-tsu,5
itxi,V,148.68,i-txi,2
ankerki,A,0.823,an-ker-ki,3
itxiera,N,1.646,i-txi-e-ra,4
itxitura,N,4.389,i-txi-tu-ra,4
itxoin,V,19.202,i-txoin,2
itxura,N,215.613,i-txu-ra,3
itxuragabe,G,2.195,i-txu-ra-ga-be,5
itxuragabekeria,N,0.549,i-txu-ra-ga-be-ke-ri-a,8
itxuragabeko,G,0.823,i-txu-ra-ga-be-ko,6
itxurakeria,N,2.195,i-txu-ra-ke-ri-a,6
anomalia,N,1.646,a-no-ma-li-a,5
itxuraketa,N,0.823,i-txu-ra-ke-ta,5
itxuraldaketa,N,2.743,i-txu-ral-da-ke-ta,6
itxuraldatu,V,1.372,i-txu-ral-da-tu,5
itxuratu,V,2.743,i-txu-ra-tu,4
itxuraz,A,53.766,i-txu-raz,3
itzain,N,1.097,i-tzain,2
abstentzio,N,0.549,abs-ten-tzi-o,4
anonimatu,N,0.549,a-no-ni-ma-tu,5
itzal,N,34.564,i-tzal,2
itzaldun,G,0.549,i-tzal-dun,3
itzaleztatu,V,0.549,i-tza-lez-ta-tu,5
itzalgarri,G,0.549,i-tzal-ga-rri,4
itzali,V,31.272,i-tza-li,3
itzalketa,N,0.549,i-tzal-ke-ta,4
itzaltsu,G,2.469,i-tzal-tsu,3
itzarri,V,3.017,i-tza-rri,3
anonimo,G,4.115,a-no-ni-mo,4
itzartu,V,5.212,i-tzar-tu,3
itzel,G,8.504,i-tzel,2
itzelezko,G,2.195,i-tze-lez-ko,4
itzulbira,N,0.549,i-tzul-bi-ra,4
itzulera,N,5.761,i-tzu-le-ra,4
itzuli,N,227.957,i-tzu-li,3
itzulika,N,1.097,i-tzu-li-ka,4
itzulikatu,V,1.646,i-tzu-li-ka-tu,5
anorak,N,0.823,a-no-rak,3
itzulinguru,N,2.195,i-tzu-lin-gu-ru,5
itzulinguruka,A,1.097,i-tzu-lin-gu-ru-ka,6
itzulipurdi,N,1.097,i-tzu-li-pur-di,5
itzulipurdika,A,1.92,i-tzu-li-pur-di-ka,6
itzulipurdikari,G,1.92,i-tzu-li-pur-di-ka-ri,7
itzulipurdikatu,V,1.097,i-tzu-li-pur-di-ka-tu,7
itzulketa,N,5.761,i-tzul-ke-ta,4
itzulkortasun,N,0.549,i-tzul-kor-ta-sun,5
itzulpen,N,58.155,i-tzul-pen,3
anorexia,N,4.389,a-no-re-xi-a,5
itzulpengintza,N,1.646,i-tzul-pen-gin-tza,5
itzultzaile,N,22.768,i-tzul-tzai-le,4
itzultze,N,3.292,i-tzul-tze,3
itzuri,V,4.115,i-tzu-ri,3
iupi,N,0.549,i-u-pi,3
ixo,O,10.424,i-xo,2
izadi,N,8.504,i-za-di,3
izaera,N,164.59,i-za-e-ra,4
izain,N,1.097,i-zain,2
anorexiko,G,0.823,a-no-re-xi-ko,5
izaki,N,125.637,i-za-ki,3
izakide,N,0.549,i-za-ki-de,4
izan,N,6801.688,i-zan,2
izandun,G,1.097,i-zan-dun,3
izangai,N,1.92,i-zan-gai,3
izapide,N,1.372,i-za-pi-de,4
izapidegintza,N,0.549,i-za-pi-de-gin-tza,6
izapidetu,V,3.292,i-za-pi-de-tu,5
anotazio,N,0.549,a-no-ta-zi-o,5
izar,N,55.138,i-zar,2
izara,N,8.23,i-za-ra,3
izarbel,N,0.549,i-zar-bel,3
izari,N,1.372,i-za-ri,3
izarloka,G,0.549,i-zar-lo-ka,4
izaro,N,0.549,i-za-ro,3
izarputz,G,0.549,i-zar-putz,3
izartsu,G,1.372,i-zar-tsu,3
anpliazio,N,1.372,an-pli-a-zi-o,5
izartu,V,0.823,i-zar-tu,3
izartxo,N,1.92,i-zar-txo,3
izatasun,N,0.823,i-za-ta-sun,4
izate,N,38.953,i-za-te,3
izeba,N,29.626,i-ze-ba,3
izei,N,1.097,i-zei,2
izeki,V,1.372,i-ze-ki,3
izeko,N,5.212,i-ze-ko,3
anplifikadore,N,1.646,an-pli-fi-ka-do-re,6
izen,N,308.607,i-zen,2
izenemate,N,1.372,i-ze-ne-ma-te,5
izenburu,N,15.91,i-zen-bu-ru,4
izendapen,N,12.344,i-zen-da-pen,4
izendatu,V,76.26,i-zen-da-tu,4
izendatzaile,N,3.017,i-zen-da-tzai-le,5
izendatze,N,2.743,i-zen-da-tze,4
izendegi,N,2.743,i-zen-de-gi,4
antagonista,N,1.372,an-ta-go-nis-ta,5
izendu,V,19.202,i-zen-du,3
izendun,G,2.743,i-zen-dun,3
izengoiti,N,2.743,i-zen-goi-ti,4
izenketa,G,0.549,i-zen-ke-ta,4
izenlagun,N,2.743,i-zen-la-gun,4
izenondo,N,1.646,i-ze-non-do,4
izenordain,N,5.212,i-ze-nor-dain,4
izenorde,N,3.017,i-ze-nor-de,4
izenpe,N,1.097,i-zen-pe,3
antena,N,6.858,an-te-na,3
izenpetu,V,16.733,i-zen-pe-tu,4
izerdi,N,23.043,i-zer-di,3
izerditu,V,0.823,i-zer-di-tu,4
izkina,N,5.212,iz-ki-na,3
izkira,N,0.549,iz-ki-ra,3
izkiriatu,V,3.84,iz-ki-ri-a-tu,5
abstraktu,G,6.035,abs-trak-tu,3
antera,N,0.823,an-te-ra,3
izkirimiri,N,0.823,iz-ki-ri-mi-ri,5
izkribu,N,6.858,iz-kri-bu,3
izkribuz,A,1.372,iz-kri-buz,3
izokin,N,3.292,i-zo-kin,3
izorra,N,2.469,i-zo-rra,3
izorratu,V,3.017,i-zo-rra-tu,4
izotz,N,15.362,i-zotz,2
izozki,N,3.566,i-zoz-ki,3
izozte,N,3.84,i-zoz-te,3
antibiotiko,N,0.549,an-ti-bi-o-ti-ko,6
izoztegi,N,0.549,i-zoz-te-gi,4
izoztu,V,3.84,i-zoz-tu,3
izparkari,N,0.549,iz-par-ka-ri,4
izparringi,N,4.389,iz-pa-rrin-gi,4
izpi,N,27.157,iz-pi,2
izpika,N,0.549,iz-pi-ka,3
izpil,N,1.097,iz-pil,2
izpiliku,N,1.372,iz-pi-li-ku,4
izpiritu,N,37.033,iz-pi-ri-tu,4
antifona,N,4.938,an-ti-fo-na,4
izpiritual,G,5.212,iz-pi-ri-tu-al,5
izpiritualitate,N,0.549,iz-pi-ri-tu-a-li-ta-te,8
izter,N,9.875,iz-ter,2
iztupa,N,0.823,iz-tu-pa,3
izu,G,9.327,i-zu,2
izuikara,N,0.823,i-zu-i-ka-ra,5
izualdi,N,0.549,i-zu-al-di,4
izugarri,G,60.624,i-zu-ga-rri,4
izugarrikeria,N,0.823,i-zu-ga-rri-ke-ri-a,7
izugarriki,A,0.823,i-zu-ga-rri-ki,5
antiformalista,G,0.549,an-ti-for-ma-lis-ta,6
izugarrizko,G,66.11,i-zu-ga-rriz-ko,5
izukaitz,G,0.549,i-zu-kaitz,3
izurde,N,2.195,i-zur-de,3
izurdi,G,0.549,i-zur-di,3
izurri,N,3.84,i-zu-rri,3
izurrilkari,N,0.549,i-zu-rril-ka-ri,5
izurrite,N,4.389,i-zu-rri-te,4
izuti,G,0.823,i-zu-ti,3
izutu,V,15.087,i-zu-tu,3
antifrankista,N,1.372,an-ti-fran-kis-ta,5
ja,A,39.227,ja,1
jajaja,N,0.549,ja-ja-ja,3
jabaldu,V,0.549,ja-bal-du,3
jabari,N,1.646,ja-ba-ri,3
jabe,N,148.131,ja-be,2
jabego,N,11.796,ja-be-go,3
jabekide,N,0.549,ja-be-ki-de,4
jabekidetza,N,0.549,ja-be-ki-de-tza,5
jabekuntza,N,3.292,ja-be-kun-tza,4
jabetasun,N,4.389,ja-be-ta-sun,4
antigeno,N,2.195,an-ti-ge-no,4
jabetu,V,56.235,ja-be-tu,3
jabetza,N,37.033,ja-be-tza,3
jabetze,N,1.097,ja-be-tze,3
jada,A,46.085,ja-da,2
jadaneko,G,0.823,ja-da-ne-ko,4
jadanik,A,165.962,ja-da-nik,3
jadetsi,V,1.92,ja-de-tsi,3
jagi,V,7.407,ja-gi,2
jagoletza,N,0.823,ja-go-le-tza,4
antigorputz,N,3.017,an-ti-gor-putz,4
jagon,N,4.115,ja-gon,2
jaguar,N,2.743,ja-gu-ar,3
jai,N,96.56,jai,1
jaialdi,N,14.813,ja-ial-di,3
jaidura,N,1.646,jai-du-ra,3
jaiegun,N,4.938,ja-ie-gun,3
jaiera,N,3.017,ja-ie-ra,3
jaiero,A,1.097,ja-ie-ro,3
jaiki,V,57.881,jai-ki,2
jaikizun,N,0.549,jai-ki-zun,3
antiinperialista,G,0.549,an-ti-in-pe-ri-a-lis-ta,8
jainko,N,127.557,jain-ko,2
jainkoarren,O,2.743,jain-ko-a-rren,4
jainkogabe,N,0.549,jain-ko-ga-be,4
jainkosa,N,4.389,jain-ko-sa,3
jainkotasun,N,0.823,jain-ko-ta-sun,4
jainkotiar,G,0.549,jain-ko-ti-ar,4
jainkotxo,N,0.549,jain-ko-txo,3
jainkozale,G,1.372,jain-ko-za-le,4
jainkozko,G,14.539,jain-koz-ko,3
antiklerikal,G,0.823,an-ti-kle-ri-kal,5
jaio,V,181.598,ja-io,2
jaioaurreko,G,0.823,ja-io-au-rre-ko,5
jaioberri,G,1.92,ja-io-be-rri,4
jaiokuntza,N,1.097,ja-io-kun-tza,4
jaioterri,N,2.195,ja-io-te-rri,4
jaiotetxe,N,0.549,ja-io-te-txe,4
jaiotza,N,27.706,ja-io-tza,3
jaiotze,N,4.663,ja-io-tze,3
antiklinal,N,0.823,an-ti-kli-nal,4
jaitsi,V,109.452,jai-tsi,2
jaitsiera,N,10.698,jai-tsi-e-ra,4
jaka,N,7.955,ja-ka,2
jaki,N,15.087,ja-ki,2
jakile,N,0.549,ja-ki-le,3
jakin,G,606.789,ja-kin,2
abstrakzio,N,6.584,abs-trak-zi-o,4
antikuario,N,0.823,an-ti-ku-a-ri-o,6
jakinarazpen,N,7.681,ja-ki-na-raz-pen,5
jakinduria,N,13.99,ja-kin-du-ri-a,5
jakinez,G,12.07,ja-ki-nez,3
jakingabe,N,0.823,ja-kin-ga-be,4
jakingai,N,0.549,ja-kin-gai,3
jakingarri,G,13.99,ja-kin-ga-rri,4
jakingura,N,2.469,ja-kin-gu-ra,4
jakinki,A,0.823,ja-kin-ki,3
antilope,N,1.92,an-ti-lo-pe,4
jakintsu,G,28.803,ja-kin-tsu,3
