lemma,ehme_n,ehme_freq,ehme_log,pos,nwords,lemmalength
abeniko,28,1.23,0.35,ize,10,7
abenitu,3,0.13,0.05,adi,3,7
abenka,2,0.09,0.04,ize,1,6
abentura,1036,45.6,1.67,ize,41,8
abenturakide,3,0.13,0.05,ize,1,12
abenturatu,1,0.04,0.02,adi,1,10
abenturazale,82,3.61,0.66,adj,13,12
abenturero,5,0.22,0.09,adj,3,10
aberasbide,1,0.04,0.02,ize,1,10
aberasgarri,189,8.32,0.97,adj,15,11
aberaska,1,0.04,0.02,ize,1,8
aberaskeria,1,0.04,0.02,ize,1,11
aberasketa,1,0.04,0.02,ize,1,10
aberaskume,24,1.06,0.31,ize,6,10
aberaspide,2,0.09,0.04,ize,1,10
aberastarzun,2,0.09,0.04,ize,2,12
aberastasun,1147,50.49,1.71,ize,28,11
aberastu,934,41.11,1.62,adi,30,8
aberastuberri,2,0.09,0.04,adj,2,13
aberats,3016,132.75,2.13,adj,79,7
abere,1423,62.63,1.8,ize,44,5
aberekeria,7,0.31,0.12,ize,5,10
abereki,6,0.26,0.1,adj,2,7
aberekoi,2,0.09,0.04,adj,2,8
aberekume,4,0.18,0.07,ize,3,9
aberetasun,6,0.26,0.1,ize,3,10
aberetegi,2,0.09,0.04,ize,2,9
aberetu,15,0.66,0.22,adi,8,7
aberetzar,5,0.22,0.09,ize,3,9
aberezko,4,0.18,0.07,adj,2,8
aberia,14,0.62,0.21,ize,2,6
aberkide,36,1.58,0.41,ize,10,8
aberkoi,23,1.01,0.3,adj,10,7
aberrante,2,0.09,0.04,adj,2,9
aberrazio,39,1.72,0.43,ize,8,9
aberri,1270,55.9,1.76,ize,33,6
aberriano,2,0.09,0.04,adj,2,9
aberrigabe,10,0.44,0.16,ize,5,10
aberrigintza,5,0.22,0.09,ize,2,12
aberrikide,2,0.09,0.04,adj,2,10
aberriratu,12,0.53,0.18,adi,7,10
aberrizale,2,0.09,0.04,adj,2,10
aberrizaletasun,2,0.09,0.04,ize,2,15
abertitu,9,0.4,0.15,adi,7,8
abertzale,5879,258.77,2.41,adj,68,9
abertzalego,10,0.44,0.16,ize,7,11
abertzalekeria,8,0.35,0.13,ize,3,14
abertzaletasun,391,17.21,1.26,ize,18,14
abertzaletu,6,0.26,0.1,adi,4,11
abesbatza,702,30.9,1.5,ize,27,9
abeslari,603,26.54,1.44,adj,20,8
abestalde,9,0.4,0.15,ize,4,9
abestaldi,8,0.35,0.13,ize,3,9
abesti,1101,48.46,1.69,ize,37,6
abestu,1009,44.41,1.66,adi,31,6
abetxukoar,3,0.13,0.05,adj,3,10
abeze,7,0.31,0.12,ize,3,5
abezedario,3,0.13,0.05,ize,2,10
abezekiro,2,0.09,0.04,adb,1,9
abiabide,3,0.13,0.05,ize,3,8
abiaburu,73,3.21,0.62,ize,12,8
abiada,338,14.88,1.2,ize,11,6
abiadan,68,2.99,0.6,adb,1,7
abiadore,5,0.22,0.09,ize,3,8
abiadura,1351,59.46,1.78,ize,21,8
abiagune,7,0.31,0.12,ize,3,8
abialdi,4,0.18,0.07,ize,3,7
abialeku,3,0.13,0.05,ize,3,8
abiamen,2,0.09,0.04,ize,2,7
abian,1882,82.84,1.92,adb,1,5
abiapuntu,851,37.46,1.59,ize,18,9
abiarazle,3,0.13,0.05,ize,3,9
abiatu,11044,486.1,2.69,adi,53,6
abiatzaile,1,0.04,0.02,ize,1,10
abiatze,490,21.57,1.35,adi,12,7
abiazale,2,0.09,0.04,adj,2,8
abiazio,18,0.79,0.25,ize,8,7
abiera,3,0.13,0.05,ize,2,6
abil,218,9.6,1.03,adj,24,4
abildade,57,2.51,0.55,ize,6,8
abildu,3,0.13,0.05,adi,1,6
abilezia,201,8.85,0.99,ize,13,8
abilidade,23,1.01,0.3,ize,7,9
abilki,52,2.29,0.52,adj,2,6
abiltasun,4,0.18,0.07,ize,3,9
abio,24,1.06,0.31,ize,8,4
abioi,108,4.75,0.76,ize,19,5
abioneta,10,0.44,0.16,ize,7,8
abiotiko,2,0.09,0.04,adj,2,8
abisal,7,0.31,0.12,adj,5,6
abisatu,598,26.32,1.44,adi,23,7
abisiniar,4,0.18,0.07,adj,2,9
abismal,3,0.13,0.05,adj,3,7
abismo,6,0.26,0.1,ize,3,6
abiso,2,0.09,0.04,ize,2,5
abistu,2,0.09,0.04,ize,2,6
abisu,859,37.81,1.59,ize,21,5
abitaminosi,2,0.09,0.04,ize,2,11
abitu,117,5.15,0.79,ize,14,5
abixoi,1,0.04,0.02,ize,1,6
abizen,493,21.7,1.36,ize,25,6
abjuratu,1,0.04,0.02,adi,1,8
abkhaziar,5,0.22,0.09,adj,2,9
ablatibo,4,0.18,0.07,ize,4,8
ablaut,5,0.22,0.09,ize,4,6
ablazio,45,1.98,0.47,ize,7,7
abluzio,2,0.09,0.04,ize,2,7
abnegazio,3,0.13,0.05,ize,3,9
abokat,133,5.85,0.84,ize,11,6
abokate,25,1.1,0.32,ize,5,7
abokatu,3351,147.5,2.17,ize,38,7
abokatutza,17,0.75,0.24,ize,5,10
abolitu,11,0.48,0.17,adi,6,7
abolizio,12,0.53,0.18,ize,3,8
abolizionismo,1,0.04,0.02,ize,1,13
abolizionista,3,0.13,0.05,adj,2,13
abominable,2,0.09,0.04,adj,2,10
abonamendu,38,1.67,0.43,ize,8,10
abonatu,25,1.1,0.32,adi,9,7
abondo,1,0.04,0.02,adb,1,6
abono,10,0.44,0.16,ize,4,5
abonu,26,1.14,0.33,ize,7,5
abordaia,4,0.18,0.07,ize,3,8
abordatu,11,0.48,0.17,adi,5,8
aborigen,60,2.64,0.56,ize,8,8
aborigeno,3,0.13,0.05,ize,2,9
aborijen,6,0.26,0.1,ize,4,8
abortatu,153,6.73,0.89,adi,16,8
abortatze,27,1.19,0.34,adi,3,9
aborto,63,2.77,0.58,ize,10,6
abortu,246,10.83,1.07,ize,16,6
abortugile,3,0.13,0.05,ize,3,10
abots,39,1.72,0.43,ize,5,5
abrakadabra,5,0.22,0.09,ize,4,11
abre,6,0.26,0.1,ize,2,4
abrekeria,33,1.45,0.39,ize,8,9
abrigatu,2,0.09,0.04,adi,2,8
abrigo,8,0.35,0.13,ize,4,6
abrigu,8,0.35,0.13,ize,4,6
abrikot,5,0.22,0.09,ize,2,7
abrikotondo,2,0.09,0.04,ize,2,11
absenta,21,0.92,0.28,ize,3,7
absente,12,0.53,0.18,adj,3,7
absentia,12,0.53,0.18,adb,1,8
absentismo,7,0.31,0.12,ize,4,10
absentzia,64,2.82,0.58,ize,9,9
abside,14,0.62,0.21,ize,6,6
absintio,1,0.04,0.02,ize,1,8
absolbitu,66,2.91,0.59,adi,12,9
absolutismo,18,0.79,0.25,ize,7,11
absolutista,23,1.01,0.3,adj,5,11
absolutizatu,2,0.09,0.04,adi,2,12
absoluto,18,0.79,0.25,adj,8,8
absolutu,879,38.69,1.6,adj,38,8
absolututasun,8,0.35,0.13,ize,3,13
absoluzio,63,2.77,0.58,ize,5,9
absoluzione,2,0.09,0.04,ize,1,11
absorbatu,6,0.26,0.1,adi,4,9
absorbatzaile,1,0.04,0.02,adj,1,13
absortzio,2,0.09,0.04,ize,2,9
abstemio,5,0.22,0.09,ize,2,8
abstenitu,175,7.7,0.94,adi,7,9
abstentzio,374,16.46,1.24,ize,18,10
abstentzionismo,1,0.04,0.02,ize,1,15
abstentzionista,1,0.04,0.02,adj,1,15
abstinentzia,50,2.2,0.51,ize,9,12
abstraitu,84,3.7,0.67,adi,8,9
abstrakto,21,0.92,0.28,adj,9,9
abstraktu,425,18.71,1.29,adj,34,9
abstraktutasun,5,0.22,0.09,ize,3,14
abstrakzio,219,9.64,1.03,ize,23,10
abstrazio,15,0.66,0.22,ize,4,9
absurdo,254,11.18,1.09,adj,24,7
absurdotasun,6,0.26,0.1,ize,2,12
absurdu,205,9.02,1,ize,23,7
abudo,16,0.7,0.23,ize,2,5
abulia,1,0.04,0.02,ize,1,6
abuliko,1,0.04,0.02,adj,1,7
aburu,1282,56.43,1.76,ize,10,5
abusailu,2,0.09,0.04,ize,2,8
abusatu,55,2.42,0.53,adi,10,7
abusatzaile,2,0.09,0.04,adj,2,11
abuso,2,0.09,0.04,ize,2,5
abusu,83,3.65,0.67,ize,15,5
abuztu,2342,103.08,2.02,ize,19,6
abzisa,1,0.04,0.02,ize,1,6
accesit,1,0.04,0.02,ize,1,7
acholi,2,0.09,0.04,adj,1,6
adabaki,163,7.17,0.91,ize,19,7
adabakitu,10,0.44,0.16,adi,6,9
adabatu,31,1.36,0.37,adi,11,7
adabegi,21,0.92,0.28,ize,8,7
adaburu,52,2.29,0.52,ize,16,7
adaggio,1,0.04,0.02,ize,1,7
adagietto,1,0.04,0.02,adb,1,9
adagio,41,1.8,0.45,ize,9,6
adaje,4,0.18,0.07,ize,3,5
adaki,1,0.04,0.02,ize,1,5
adamantino,1,0.04,0.02,adj,1,10
adanismo,3,0.13,0.05,ize,2,8
adaptatu,3,0.13,0.05,adi,2,8
adaptazio,6,0.26,0.1,ize,2,9
adaptazionismo,3,0.13,0.05,ize,3,14
adar,2651,116.68,2.07,ize,48,4
adarailu,2,0.09,0.04,ize,2,8
adarbakar,35,1.54,0.4,adj,7,9
adarbakoitz,48,2.11,0.49,adj,8,11
adarbe,7,0.31,0.12,ize,7,6
adarbiko,3,0.13,0.05,ize,2,8
adarbikoitz,3,0.13,0.05,ize,2,11
adardun,30,1.32,0.37,adj,6,7
adarga,6,0.26,0.1,ize,1,6
adargabe,1,0.04,0.02,adj,1,8
adarjole,5,0.22,0.09,adj,5,8
adarjotzaile,9,0.4,0.15,adj,3,12
adarjotze,18,0.79,0.25,ize,4,9
adarka,13,0.57,0.2,adb,1,6
adarkada,19,0.84,0.26,ize,4,8
adarkadura,4,0.18,0.07,ize,3,10
adarkako,1,0.04,0.02,adj,1,8
adarkari,2,0.09,0.04,adj,2,8
adarkatu,23,1.01,0.3,adi,9,8
adarki,1,0.04,0.02,ize,1,6
adarkizko,2,0.09,0.04,adj,1,9
adarluze,1,0.04,0.02,adj,1,8
adarmotz,1,0.04,0.02,adj,1,8
adaro,1,0.04,0.02,ize,1,5
adarpe,3,0.13,0.05,ize,2,6
adarrarte,2,0.09,0.04,ize,2,9
adarreko,53,2.33,0.52,ize,4,8
adartsu,6,0.26,0.1,adj,4,7
adartu,1,0.04,0.02,adi,1,6
adarzabal,2,0.09,0.04,ize,1,9
adaska,28,1.23,0.35,ize,6,6
adats,325,14.3,1.18,ize,22,5
adausi,6,0.26,0.1,ize,3,6
adaxka,51,2.24,0.51,ize,13,6
adbekzio,4,0.18,0.07,ize,2,8
adberbio,14,0.62,0.21,ize,5,8
adbertsatibo,3,0.13,0.05,adj,2,12
addenda,1,0.04,0.02,ize,1,7
addendum,1,0.04,0.02,ize,1,8
adei,7,0.31,0.12,ize,5,4
adeigabe,5,0.22,0.09,adj,2,8
adeitasun,215,9.46,1.02,ize,15,9
adeitasunez,118,5.19,0.79,adb,1,11
adeitsu,492,21.66,1.36,adj,34,7
adelatu,9,0.4,0.15,adi,6,7
adenina,2,0.09,0.04,ize,1,7
adenosindifosfato,1,0.04,0.02,ize,1,17
adenosintrifosfato,1,0.04,0.02,ize,1,18
adhesio,1,0.04,0.02,ize,1,7
adi,1777,78.22,1.9,adb,2,3
adia,21,0.92,0.28,ize,3,4
adiakatu,4,0.18,0.07,adi,3,8
adibide,2808,123.59,2.1,ize,37,7
adibidez,4757,209.38,2.32,adb,1,8
adiera,419,18.44,1.29,ize,20,6
adierazbide,3,0.13,0.05,ize,3,11
adierazezin,8,0.35,0.13,adj,3,11
adierazgai,2,0.09,0.04,ize,2,10
adierazgaitz,4,0.18,0.07,adj,2,12
adierazgarri,781,34.38,1.55,adj,30,12
adierazgarriro,1,0.04,0.02,adb,1,14
adierazgarritasun,102,4.49,0.74,ize,12,17
adierazi,19353,851.83,2.93,adi,64,8
adieraziezin,2,0.09,0.04,adj,2,12
adierazkaitz,2,0.09,0.04,adj,2,12
adierazkera,8,0.35,0.13,ize,2,11
adierazkizun,2,0.09,0.04,ize,2,12
adierazkor,87,3.83,0.68,adj,14,10
adierazkortasun,60,2.64,0.56,ize,11,15
adierazle,550,24.21,1.4,ize,25,9
adierazmaila,7,0.31,0.12,ize,2,12
adierazmolde,12,0.53,0.18,ize,4,12
adierazpen,4344,191.2,2.28,ize,39,10
adierazpide,213,9.38,1.02,ize,14,11
adieraztezin,13,0.57,0.2,adj,4,12
adierraz,1,0.04,0.02,adj,1,8
adiezin,3,0.13,0.05,adj,3,7
adigabe,5,0.22,0.09,adj,3,7
adigabetu,3,0.13,0.05,adi,3,9
adigai,1859,81.82,1.92,ize,40,6
adigaitz,8,0.35,0.13,adj,4,8
adigalkor,1,0.04,0.02,adj,1,9
adigarri,55,2.42,0.53,adj,12,8
adigarritasun,1,0.04,0.02,ize,1,13
adigogor,1,0.04,0.02,adj,1,8
adiguri,1,0.04,0.02,ize,1,7
adijardun,11,0.48,0.17,ize,9,9
adikatu,1,0.04,0.02,adi,1,7
adikor,5,0.22,0.09,adj,4,6
adiktibo,2,0.09,0.04,adj,2,8
adikune,5,0.22,0.09,ize,2,7
adikzio,13,0.57,0.2,ize,4,7
adimen,2601,114.48,2.06,ize,44,6
adimendu,182,8.01,0.95,ize,25,8
adimengabe,20,0.88,0.27,adj,7,10
adimentsu,83,3.65,0.67,adj,18,9
adin,2409,106.03,2.03,ize,38,4
adina,2227,98.02,2,adb,1,5
adinako,595,26.19,1.43,adj,9,7
adinbat,8,0.35,0.13,bes,1,7
adindu,103,4.53,0.74,adi,19,6
adindun,19,0.84,0.26,adj,7,7
adineko,1087,47.84,1.69,adj,32,7
adingabe,470,20.69,1.34,adj,20,8
adingabeko,70,3.08,0.61,adj,13,10
adinkide,23,1.01,0.3,adj,7,8
adinon,1,0.04,0.02,adj,1,6
adintsu,90,3.96,0.7,adj,21,7
adio,564,24.82,1.41,ize,9,4
adiorik,64,2.82,0.58,ize,1,7
adios,20,0.88,0.27,ize,1,5
adipozito,1,0.04,0.02,ize,1,9
adiskidantza,300,13.2,1.15,ize,20,12
adiskide,3894,171.4,2.24,ize,57,8
adiskidegiro,1,0.04,0.02,ize,1,12
adiskidego,4,0.18,0.07,ize,3,10
adiskidekeria,3,0.13,0.05,ize,2,13
adiskidekiro,1,0.04,0.02,ize,1,12
adiskidekor,6,0.26,0.1,adj,4,11
adiskidetasun,584,25.7,1.43,ize,20,13
adiskidetsu,91,4.01,0.7,adj,12,11
adiskidetu,154,6.78,0.89,adi,11,10
adiskidetza,10,0.44,0.16,ize,5,11
adiskidetzaile,1,0.04,0.02,adj,1,14
adiskidetze,211,9.29,1.01,adi,11,11
aditasun,8,0.35,0.13,ize,5,8
aditibo,3,0.13,0.05,adj,2,7
aditu,6102,268.58,2.43,adi,61,5
adituezin,1,0.04,0.02,adj,1,9
aditz,1579,69.5,1.85,ize,18,5
aditzaile,5,0.22,0.09,ize,2,9
aditzale,3,0.13,0.05,adj,2,8
aditzaurreko,3,0.13,0.05,adj,3,12
aditze,1516,66.73,1.83,adi,25,6
aditzoin,4,0.18,0.07,ize,2,8
aditzondo,6,0.26,0.1,ize,4,9
adiurre,2,0.09,0.04,ize,2,7
adivasi,11,0.48,0.17,ize,4,7
adixkidantza,38,1.67,0.43,ize,7,12
adixkide,566,24.91,1.41,ize,28,8
adixkidetasun,19,0.84,0.26,ize,6,13
adixkidetu,19,0.84,0.26,adi,7,10
adizio,3,0.13,0.05,ize,3,6
adizkera,2,0.09,0.04,ize,2,8
adizki,75,3.3,0.63,ize,9,6
adizkitegi,1,0.04,0.02,ize,1,10
adizlagun,8,0.35,0.13,ize,3,9
adiztegi,4,0.18,0.07,ize,3,8
adizu,46,2.02,0.48,adi,1,5
adizue,5,0.22,0.09,adi,1,6
adjariar,2,0.09,0.04,adj,2,8
adjektibatu,5,0.22,0.09,adi,5,11
adjektibazio,4,0.18,0.07,ize,4,12
adjektibo,153,6.73,0.89,ize,15,9
adjetibo,11,0.48,0.17,ize,6,8
adjudikatu,10,0.44,0.16,adi,3,10
adjudikazio,18,0.79,0.25,ize,9,11
adjuntu,1,0.04,0.02,ize,1,7
adlatibo,5,0.22,0.09,ize,2,8
administradore,8,0.35,0.13,adj,4,14
administralgo,1,0.04,0.02,ize,1,13
administrari,56,2.46,0.54,ize,7,12
administraritza,7,0.31,0.12,ize,2,15
administratibo,338,14.88,1.2,adj,28,14
administratu,65,2.86,0.59,adi,14,12
administratzaile,169,7.44,0.93,ize,15,16
administratzale,3,0.13,0.05,ize,2,15
administrazio,3152,138.74,2.15,ize,42,13
administrazioburu,6,0.26,0.1,ize,2,17
administrazione,20,0.88,0.27,ize,8,15
administraziope,10,0.44,0.16,ize,1,15
adobatu,1,0.04,0.02,adi,1,7
adobezko,5,0.22,0.09,adj,1,8
adokin,6,0.26,0.1,ize,4,6
adokinatu,2,0.09,0.04,adi,2,9
adoleszente,13,0.57,0.2,adj,7,11
adoleszentzia,21,0.92,0.28,ize,6,13
adolezente,3,0.13,0.05,ize,2,10
adonia,4,0.18,0.07,ize,2,6
adonis,20,0.88,0.27,adj,2,6
adoptatu,132,5.81,0.83,adi,21,8
adoptatzaile,5,0.22,0.09,ize,3,12
adopzio,108,4.75,0.76,ize,10,7
adoragarri,8,0.35,0.13,adj,3,10
adoratu,145,6.38,0.87,adi,15,7
adoratzaile,32,1.41,0.38,ize,10,11
adorazio,26,1.14,0.33,ize,8,8
adorazione,17,0.75,0.24,ize,4,10
adore,1164,51.23,1.72,ize,16,5
adoreberritu,5,0.22,0.09,adi,4,12
adoregabe,9,0.4,0.15,adj,5,9
adoregabetu,32,1.41,0.38,adi,6,11
adoregarri,5,0.22,0.09,adj,3,10
adoretsu,296,13.03,1.15,adj,24,8
adoretu,171,7.53,0.93,adi,12,7
adornu,4,0.18,0.07,ize,3,6
ados,2424,106.69,2.03,adb,3,4
adosatu,3,0.13,0.05,adi,3,7
adosean,9,0.4,0.15,adb,1,7
adostasun,1460,64.26,1.81,ize,24,9
adostu,1229,54.09,1.74,adi,42,6
adreilu,346,15.23,1.21,ize,18,7
adreilugintza,4,0.18,0.07,ize,4,13
adrenalina,29,1.28,0.36,ize,5,10
adrendu,1,0.04,0.02,ize,1,7
adret,8,0.35,0.13,adj,4,5
adrezia,6,0.26,0.1,ize,2,7
adriatiko,80,3.52,0.66,adj,7,9
adskripzio,2,0.09,0.04,ize,1,10
adsorbitu,4,0.18,0.07,adi,3,9
adsortzio,1,0.04,0.02,ize,1,9
adu,4,0.18,0.07,ize,1,3
aduana,168,7.39,0.92,ize,18,6
aduanari,4,0.18,0.07,ize,3,8
aduktore,18,0.79,0.25,adj,6,8
adulteratu,7,0.31,0.12,adi,5,10
adulterazio,3,0.13,0.05,ize,3,11
adulterio,150,6.6,0.88,ize,12,9
adulteriogile,31,1.36,0.37,adj,10,13
adultero,11,0.48,0.17,adj,6,8
adulto,2,0.09,0.04,ize,2,6
adur,136,5.99,0.84,ize,14,4
adurti,3,0.13,0.05,adj,3,6
aedo,20,0.88,0.27,ize,4,4
aequo,13,0.57,0.2,adb,2,5
aerobic,3,0.13,0.05,ize,2,7
aerobiko,3,0.13,0.05,adj,2,8
aerodinamika,18,0.79,0.25,ize,4,12
aerodinamiko,19,0.84,0.26,adj,8,12
aerodromo,35,1.54,0.4,ize,13,9
aeroespazial,3,0.13,0.05,adj,3,12
aerofagia,1,0.04,0.02,ize,1,9
aerogel,3,0.13,0.05,ize,2,7
aerolabaingailu,1,0.04,0.02,ize,1,15
aerolito,5,0.22,0.09,ize,3,8
aeromodelismo,7,0.31,0.12,ize,5,13
aeromodelo,5,0.22,0.09,ize,2,10
aeronauta,1,0.04,0.02,ize,1,9
aeronautika,78,3.43,0.65,ize,8,11
aeronautiko,18,0.79,0.25,adj,6,11
aeroplano,1,0.04,0.02,ize,1,9
aeroportu,3,0.13,0.05,ize,2,9
aerosol,18,0.79,0.25,ize,7,7
aerosorgailu,23,1.01,0.3,ize,6,12
aerostatiko,2,0.09,0.04,adj,2,11
aerostato,2,0.09,0.04,ize,2,9
aeternum,2,0.09,0.04,adb,1,8
aezkera,1,0.04,0.02,ize,1,7
aezkoar,1,0.04,0.02,adj,1,7
afal,93,4.09,0.71,ize,1,4
afalaurre,19,0.84,0.26,ize,4,9
afaldar,14,0.62,0.21,ize,7,7
afaldu,1333,58.67,1.78,adi,26,6
afalkide,4,0.18,0.07,ize,3,8
afalmahai,3,0.13,0.05,ize,2,9
afalondo,139,6.12,0.85,ize,11,8
afalordu,67,2.95,0.6,ize,7,8
afaloste,84,3.7,0.67,ize,8,8
afaltegi,3,0.13,0.05,ize,3,8
afaltiar,66,2.91,0.59,ize,10,8
afaltoki,5,0.22,0.09,ize,4,8
afan,39,1.72,0.43,ize,10,4
afari,1913,84.2,1.93,ize,39,5
afarite,4,0.18,0.07,ize,2,7
afasia,10,0.44,0.16,ize,4,6
afasiko,3,0.13,0.05,adj,2,7
afeitatu,2,0.09,0.04,adi,2,8
afektatu,57,2.51,0.55,adi,9,8
afektatzaile,6,0.26,0.1,ize,3,12
afektazio,6,0.26,0.1,ize,2,9
afektibitate,41,1.8,0.45,ize,10,12
afektibo,114,5.02,0.78,adj,17,8
afektibotasun,4,0.18,0.07,ize,4,13
afekto,2,0.09,0.04,ize,2,6
afektu,524,23.06,1.38,ize,25,6
afekzio,150,6.6,0.88,ize,15,7
afeminatu,3,0.13,0.05,adj,2,9
afera,1821,80.15,1.91,ize,31,5
aferatu,7,0.31,0.12,adi,3,7
aferente,1,0.04,0.02,ize,1,8
aferesi,8,0.35,0.13,ize,4,7
afgandar,11,0.48,0.17,adj,2,8
afganiar,32,1.41,0.38,adj,5,8
afganistandar,24,1.06,0.31,adj,6,13
afgano,5,0.22,0.09,ize,4,6
afiliatu,136,5.99,0.84,adi,17,8
afiliazio,42,1.85,0.45,ize,6,9
afinadore,2,0.09,0.04,ize,2,9
afinatu,22,0.97,0.29,adi,10,7
afinazio,27,1.19,0.34,ize,7,8
afinitate,10,0.44,0.16,ize,2,9
afirmatu,4,0.18,0.07,adi,3,8
afirmazio,4,0.18,0.07,ize,2,9
afitxa,36,1.58,0.41,ize,5,6
afitxatu,2,0.09,0.04,adi,2,8
afitxe,5,0.22,0.09,ize,4,6
afixa,271,11.93,1.11,ize,18,5
afixategi,2,0.09,0.04,ize,2,9
afixe,6,0.26,0.1,ize,3,5
afizio,105,4.62,0.75,ize,18,6
afizionatu,223,9.82,1.03,adi,15,10
afizione,8,0.35,0.13,ize,3,8
afliktibo,3,0.13,0.05,adj,3,9
aflikzione,2,0.09,0.04,ize,2,10
afoinu,3,0.13,0.05,ize,3,6
afonia,3,0.13,0.05,ize,2,6
afoniko,1,0.04,0.02,adj,1,7
aforatu,12,0.53,0.18,adi,3,7
aforismo,73,3.21,0.62,ize,12,8
afrantsesatu,2,0.09,0.04,ize,2,12
afrikaans,3,0.13,0.05,ize,2,9
afrikaner,4,0.18,0.07,ize,3,9
afrikanista,1,0.04,0.02,adj,1,11
afrikano,46,2.02,0.48,adj,5,8
afrikar,379,16.68,1.25,adj,24,7
afrikatu,80,3.52,0.66,adi,12,8
afro,25,1.1,0.32,ize,2,4
afroamerikar,49,2.16,0.5,adj,11,12
afrodisiako,15,0.66,0.22,adj,7,11
afrokubatar,1,0.04,0.02,adj,1,11
afrontu,12,0.53,0.18,ize,4,7
afruntatu,7,0.31,0.12,adi,2,9
